Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
14k-pave-huggie-earrings-1,14k Pave Huggie Earrings,"Ariel Gordon's Pavé Huggies are one of those styles that doesn't spend much time in the jewelry box. Decked out with twelve 1 pt diamonds on each ear, these delicate 14k yellow gold huggies just seem to go with everything. They sit close to the ear so they're light and easy to wear, and they bring just the right sparkle to any ensemble. <br><br>- 14K Yellow Gold<br>- Made in Los Angeles, CA <br> <br>Ariel's vision is to create simple jewelry that appeals to a variety of women, with the goal of creating jewelry that can transition well and be wardrobe staples. Using sterling silver and gold with semi-precious stones and diamonds, Ariel creates pieces that are modern, versatile and chic, with a hint of sexy femininity and bold individuality. All of Ariel's jewelry is handcrafted in Los Angeles. She sources her materials from reputable vendors and is committed to using conflict free stones. <br><br> <em>All pieces are delicate in nature and should be treated accordingly. Pieces with stones should be protected from impact or bending, as stones are meticulously and precisely set, and may pop out of their settings if shifted in any way. For best results, have a professional jeweler clean your piece to ensure longevity. Please contact us regarding any repairs due to normal wear and tear and we will be happy to connect you with the jewelry vendor. </em><br><br> Measurements:
<div>- Height: 0.5""<br> - Total Diamond Weight: 8 pts</div>",Ariel Gordon,WOMEN,"500-1000, ariel-gordon, Earrings, Jewelry, WOMEN",false,Color,14k Gold / Diamond,,,,,E280-14RD,0,shopify,deny,manual,695.00,,true,true,'026613,,,,false,,,,,,,,,,,,,,,,,kg,,
t-shaped-giant-tee,#91 T-Shaped Giant Tee,"<meta content=""text/html; charset=utf-8"" http-equiv=""content-type"">
<div>Skargorn | #91 T-Shaped Giant Tee</div>
<div></div>
<div>#91 T-Shaped Giant Tee is an oversized pocket tee. Featuring a loose round neck, signature cutout at side neck, short sleeves and a boxy straight cut. Relaxed washed cotton. </div>
<div> 
<div>- 100% Cotton </div>
<div>- Machine wash cold, tumble dry low </div>
<div>- Made in USA</div>
<br>
<div>Measurements:</div>
<div>Shoulder: 18""</div>
<div>Chest:  20""</div>
<div>Length: 31""</div>
<div>Measurements from size S</div>
<div> </div>
<div>Model shown wearing a size S</div>
</div>",Skargorn,WOMEN,"az-basics, backinstock-0819, CLOTHING, color-black-wash, Responsible, skargorn, Tees, Tops, under-100, WOMEN",true,Color,Black Wash,Size,XS,,,SKA-M9120:BLKWASH:XS,0,shopify,deny,manual,70.00,,true,true,'024139,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee.jpg?v=1571720090,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee.jpg?v=1571720090,lb,,
t-shaped-giant-tee,,,,,,,,Black Wash,,S,,,SKA-M9120:BLKWASH:S,0,shopify,deny,manual,70.00,,true,true,'023805,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee2.jpg?v=1571720090,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee.jpg?v=1571720090,lb,,
t-shaped-giant-tee,,,,,,,,Black Wash,,M,,,SKA-M9120:BLKWASH:M,0,shopify,continue,manual,70.00,,true,true,'023817,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee3.jpg?v=1571720090,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee.jpg?v=1571720090,lb,,
t-shaped-giant-tee,,,,,,,,Black Wash,,L,,,SKA-M9120:BLKWASH:L,0,shopify,deny,manual,70.00,,true,true,'023822,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee.jpg?v=1571720090,lb,,
t-shaped-giant-tee,,,,,,,,Black Wash,,XL,,,SKA-M9120:BLKWASH:XL,0,shopify,deny,manual,70.00,,true,true,'024168,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/T-Shaped_Giant_Tee.jpg?v=1571720090,lb,,
t-shaped-giant-tee,,,,,,,,Milk Wash,,XS,,,SKA-M9120:MILKWASH:XS,0,shopify,deny,manual,70.00,,true,true,'028826,,,,,,,,,,,,,,,,,,,,,lb,,
t-shaped-giant-tee,,,,,,,,Milk Wash,,S,,,SKA-M9120:MILKWASH:S,0,shopify,deny,manual,70.00,,true,true,'028827,,,,,,,,,,,,,,,,,,,,,lb,,
t-shaped-giant-tee,,,,,,,,Milk Wash,,M,,,SKA-M9120:MILKWASH:M,0,shopify,deny,manual,70.00,,true,true,'028829,,,,,,,,,,,,,,,,,,,,,lb,,
t-shaped-giant-tee,,,,,,,,Milk Wash,,L,,,SKA-M9120:MILKWASH:L,0,shopify,deny,manual,70.00,,true,true,'028830,,,,,,,,,,,,,,,,,,,,,lb,,
